Source,Site,EventCount,LabelCardinality,MeanDuration,MedianDuration,MeanVolume,TotalVolume,MeanFlowRate
processed,20,5852,7,0.6465595809530075,0.066666667,3.3194352867395764,19425.335298,1.1174248491628502
processed,21,11968,7,0.5926860518355614,0.2,1.143983483873663,13691.194335,0.9815488698091578
processed,22,7399,7,0.8667928099057981,0.266666667,1.7988419168806598,13309.631343000001,1.3568154130350047
processed,23,4794,7,1.0777221529075929,0.066666667,5.322457187734668,25515.859758,0.839227093364831
processed,24,11613,7,0.9469272943019892,0.066666667,4.312377789718419,50079.643272,1.0225096404106604
processed,25,9355,7,1.073522180717691,0.133333333,7.512863461250668,70282.83768,1.2502047757655799
processed,26,24933,7,0.5027286463417158,0.066666667,1.6778042443749248,41832.693225,0.5465193685707296
processed,27,9806,8,1.3683459107148683,0.266666667,7.985529425861718,78306.10155,1.0138992166235978
processed,28,4884,7,1.5334425334850532,0.2,9.725126386977887,47497.517274,1.5052354414332514
processed,29,16169,7,0.28099037280134825,0.066666667,1.1809561777475417,19094.880438,0.7766691062340281
processed,30,7076,7,1.2322781233008762,0.2,4.2369859460146975,29980.912554,1.1520134784571792
processed,31,5146,8,0.9490996243036662,0.2666666666666666,4.74369936883016,24411.076952,2.1419333291054885
processed,32,3891,7,0.6442559753464405,0.2,4.117944737342586,16022.922973,1.4323000723497816
