SiteID,City,N_Residents,N_Residents_0-10,N_Residents_10-25,N_Residents_25-40,N_Residents_40-60,N_Residents_Over60,IrrigationType,MeterBrand,MeterSize,MeterResolution,City_SiteID,N_Bathrooms,Own_Rent,Legal_Acreage_SqFt,YearBuilt,Building_Sq_Ft,ZipCode,UserPercentile_City_LastYear,MonthlyAverageWinter,MonthlyAverageSummer,Irr_Area,Site,EventCount,LabelCardinality,MeanDuration,MedianDuration,MeanVolume,TotalVolume,MeanFlowRate,QCRecordWeeks_Paper,Occupants_Paper,IrrigableArea_m2_Paper,BuildingArea_m2_Paper,IrrigationMode_Paper,PulseResolution_L_per_pulse_Paper,AnnualAverageWaterUse_m3_Paper,RawRows,RawStart,RawEnd,DaysCovered,TotalPulses,MeanPulses,ZeroFraction,NonZeroFraction,MaxPulses,IrregularIntervals,EstimatedMissingSteps,LogPeriods,LogStart,LogEnd,MeanPercentErrorVol,MeanPercentErrorCount
22,Providence,7,2,3,0,2,0,SprinklerSystem,MasterMeter,1.0,0.041619,1864,3.5,Own,12200,2005,1700,84332,,,,,22,7399,7,0.8667928099057981,0.266666667,1.7988419168806598,13309.631343000001,1.3568154130350047,8.0,7,,,Sprinkler system,0.1575,,1209561,2019-10-14 13:03:27,2020-08-04 08:58:29,294.82988425925925,320088.0,0.264631548140193,0.9267478035419462,0.0732521964580538,20.0,47,5158786,6,2019-10-14 12:41:00,2021-08-04 08:55:00,0.061006922578178586,-16.117418537458303
23,Providence,6,0,4,0,2,0,SprinklerSystem,MasterMeter,1.0,0.041619,984,4.0,Own,11330,2005,1550,84332,41.8,3.89,34.6,,23,4794,7,1.0777221529075929,0.066666667,5.322457187734668,25515.859758,0.839227093364831,5.7,6,1108.0,144.0,Sprinkler system,0.1575,809.2,860504,2019-10-15 15:07:41,2020-07-01 13:17:16,259.92332175925924,613146.0,0.7125428818459879,0.920468702062977,0.07953129793702296,41.0,30,4753853,4,2019-10-15 15:06:00,2020-07-02 09:04:00,-2.515178789717241,-1.0624255651044139
24,Providence,8,1,4,2,1,0,SprinklerSystem,MasterMeter,1.0,0.041619,581,3.5,Own,15680,2015,3000,84332,75.8,8.28,55.4,,24,11613,7,0.9469272943019892,0.066666667,4.312377789718419,50079.643272,1.0225096404106604,8.1,8,1276.0,279.0,Sprinkler system,0.1575,1308.0,1226922,2019-10-15 15:36:19,2020-07-02 09:43:59,260.75532407407405,1203264.0,0.9807176006298689,0.883423722127405,0.116576277872595,34.0,6,4405393,6,2019-10-15 15:31:00,2020-07-02 09:44:00,-5.551650108646996,-5.4365426351174015
25,Providence,6,3,1,2,0,0,SprinklerSystem,MasterMeter,1.0,0.041619,1409,3.5,Own,12200,2015,3040,84332,49.1,5.5,25.6,,25,9355,7,1.073522180717691,0.133333333,7.512863461250668,70282.83768,1.2502047757655799,7.4,6,914.0,282.0,Sprinkler system,0.1575,614.4,1122601,2019-10-28 14:33:01,2020-08-04 09:14:59,280.77914351851854,1688948.0,1.504495363891534,0.8761358666169012,0.12386413338309872,43.0,8,4942228,5,2019-10-28 14:33:00,2020-08-04 09:15:00,-13.492052794602225,-14.752069393011828
26,Providence,6,3,1,1,1,0,SprinklerSystem,MasterMeter,,0.025425,1580,1.0,Own,29620,1960,1260,84332,77.0,5.5,26.9,,26,24933,7,0.5027286463417158,0.066666667,1.6778042443749248,41832.693225,0.5465193685707296,6.7,6,3592.0,117.0,Sprinkler system,0.0962,644.0,1017717,2019-10-28 14:39:01,2020-07-01 19:29:37,247.20180555555555,1645200.0,1.6165594168123358,0.8351987831587759,0.16480121684122404,56.0,45,4321864,4,2019-10-28 14:39:00,2020-07-02 10:10:00,0.12289099430652081,-0.7737403092415264
27,Providence,7,3,2,2,0,0,SprinklerSystem,MasterMeter,,0.025425,872,3.5,Own,33540,1985,3220,84332,97.2,6.83,97.2,,27,9806,8,1.3683459107148683,0.266666667,7.985529425861718,78306.10155,1.0138992166235978,6.7,7,3842.0,299.0,Sprinkler system,0.0962,2248.6,1006512,2019-11-14 10:48:07,2020-06-30 03:12:39,228.6837037037037,3080360.0,3.0604304767354984,0.8204979175608438,0.17950208243915622,67.0,3,3933056,4,2019-11-14 10:47:00,2020-07-02 10:17:00,-0.10435015521273994,-2.8938804274463035
28,Providence,6,1,3,0,2,0,SprinklerSystem,MasterMeter,1.0,0.041619,1368,6.0,Own,25260,2005,3630,84332,93.5,8.5,74.7,,28,4884,7,1.5334425334850532,0.2,9.725126386977887,47497.517274,1.5052354414332514,4.8,6,1846.0,337.0,Sprinkler system,0.1575,1747.6,729938,2019-11-08 10:31:45,2020-06-29 07:11:37,233.8610185185185,1141359.0,1.563638281607479,0.8586414188602319,0.14135858113976804,31.0,2,4321461,3,2019-11-08 10:30:00,2020-07-02 10:25:00,-8.056159007603865,-5.269544348778433
29,Providence,3,0,1,0,2,0,SprinklerSystem,MasterMeter,1.0,0.041619,1342,3.0,Own,9580,2000,1430,84332,28.6,5.83,23.7,,29,16169,7,0.28099037280134825,0.066666667,1.1809561777475417,19094.880438,0.7766691062340281,4.8,3,700.0,133.0,Sprinkler system,0.1575,573.3,727024,2019-11-08 11:01:11,2020-06-29 02:16:26,233.63559027777777,458830.0,0.6311070886243095,0.9131995642509738,0.08680043574902617,35.0,2,4319505,3,2019-11-08 10:59:00,2020-07-02 08:55:00,-4.254768144604525,-5.51570449887387
30,Providence,6,0,4,0,2,0,SprinklerSystem,MasterMeter,1.0,0.041619,1420,3.0,Own,12630,2000,1480,84332,55.1,8.83,29.2,,30,7076,7,1.2322781233008762,0.2,4.2369859460146975,29980.912554,1.1520134784571792,5.0,6,1250.0,137.0,Sprinkler system,0.1575,716.2,747910,2019-11-08 11:09:03,2020-08-04 09:11:16,269.9182060185185,720597.0,0.9634809001083018,0.8427765372838978,0.1572234627161022,33.0,4,5082324,4,2019-11-08 11:09:00,2021-08-04 09:09:00,-10.332003429433216,-33.830907731367276
31,Logan,3,0,1,0,1,1,SprinklerSystem,Neptune,1.0,0.033196,2943,3.0,Own,8710,1975,1660,84341,79.9,11.1,27.7,,31,5146,8,0.9490996243036662,0.2666666666666666,4.74369936883016,24411.076952,2.1419333291054885,4.6,3,827.0,154.0,Sprinkler system,0.1257,695.7,694839,2020-08-12 09:19:46,2020-12-03 15:22:52,113.25215277777778,756393.0,1.0885874281668126,0.8975805906116381,0.10241940938836191,66.0,1,1751408,2,2020-08-12 09:05:00,2020-12-03 15:25:00,-2.336253664760535,-0.039819406948641
32,Logan,2,0,0,0,0,2,SprinklerSystem,Neptune,,0.008699,13107,2.0,Own,8710,1960,1120,84341,82.1,4.34,31.0,,32,3891,7,0.6442559753464405,0.2,4.117944737342586,16022.922973,1.4323000723497816,4.6,2,862.0,104.0,Sprinkler system,0.0329,730.1,694507,2020-08-12 09:41:17,2020-12-03 15:25:00,113.23869212962963,1842266.0,2.652624091621827,0.9494461538904575,0.05055384610954245,172.0,1,1751449,2,2020-08-12 09:41:00,2020-12-03 15:25:00,-1.5282864653490016,-0.0118938511479192
